index,price_clp,price_uf,price_usd,ubicacion,dorms,baths,built area,total area,parking,id,realtor,comuna_id
0,409285000,11500,509695,Hoevel4548y4558,7,4.0,384.0,732.0,3.0,11700213,,26
1,105000000,2950,130760,Rucalhue,2,1.0,112.0,145.0,1.0,10894299,Legales y Propiedades SpA,20
2,128124000,3600,159557,AvenidaLasParcelas,3,1.0,59.0,243.0,2.0,10257635,Propiedadesrs,4
3,75000000,2107,93400,PasajeGonzaloRojas,3,1.0,103.0,73.0,1.0,9232092,Patricio Gajardo propiedades,35
4,53000000,1489,66002,HernánDíazArrieta2820,2,1.0,57.0,67.0,1.0,7085397,Patricio Gajardo propiedades,35
5,94000000,2641,117061,Avenida5deAbril,2,1.0,72.0,131.0,,7586371,Patricio Gajardo propiedades,4
6,75000000,2107,93400,GabrielaMistral/PabloNeruda,3,1.0,70.0,80.0,2.0,11688480,Patricio Gajardo propiedades,35
7,105000000,2950,130760,SanCristóbalTres,2,1.0,50.0,120.0,1.0,12229303,Gesinprop Gestión Inmobiliaria,8
8,76000000,2135,94645,PasajeJosédeMoraleda,3,1.0,72.0,72.0,1.0,12223374,Gesinprop Gestión Inmobiliaria,17
9,76000000,2135,94645,Matías,3,1.0,46.0,90.0,1.0,12221068,Gesinprop Gestión Inmobiliaria,17
10,90000000,2529,112080,LasTinajas&QuintaVergara,3,1.0,100.0,134.0,3.0,12188657,Gesinprop Gestión Inmobiliaria,17
11,75000000,2107,93400,ValledelAconcagua,3,2.0,50.0,88.0,1.0,12187463,Gesinprop Gestión Inmobiliaria,29
12,153037000,4300,190582,Merlin,3,2.0,98.0,130.0,2.0,12187364,Gesinprop Gestión Inmobiliaria,17
13,132000000,3709,164384,SalvadorGutiérrez&Jujuy,4,1.0,69.0,200.0,2.0,8493024,Paula Vivanco Arenas,26
14,199000000,5591,247821,Cuevas,7,3.0,162.0,185.0,,12155606,Todo Propiedades,33
15,79000000,2220,98381,PasajeLagoBertrand,2,1.0,,,2.0,12149041,Fe Propiedades Spa,24
16,373695000,10500,465374,JoséMiguelCarrera,7,3.0,173.0,850.0,3.0,7850911,,8
17,480000000,13487,597758,Altomacul,5,6.0,240.0,600.0,2.0,6474890,Inmobiliaria Barrio Nuevo SpA,8
18,142000000,3990,176837,Sandaniel,3,2.0,100.0,163.0,2.0,12065162,,33
19,295397000,8300,367867,CaminodelaNaturaleza,3,3.0,105.0,280.0,2.0,10765504,Ecorredores Gestion Inmobiliaria,8
20,391490000,11000,487534,Cam.LasCumbres6790,5,3.0,150.0,400.0,2.0,10105612,Ecorredores Gestion Inmobiliaria,8
21,1210060000,34000,1506924,Laforesta,5,5.0,360.0,1150.0,4.0,10080545,,12
22,160155000,4500,199446,AvenidaLaMontañaSur4149,3,3.0,80.0,156.0,2.0,8677005,Behouse,36
23,129903500,3650,161773,AvenidaLaHacienda,3,2.0,68.0,221.0,1.0,7850612,Behouse,36
24,75000000,2107,93400,Riocachapoal,2,2.0,70.0,78.0,,11426067,Propital,25
25,50000000,1405,62267,CerroParedones,3,1.0,31.0,73.0,,11988681,Cgs Corretaje Inmobiliario Spa,24
26,175000000,4917,217933,RíoTrancura,3,3.0,94.0,191.0,4.0,11840169,,33
27,150000000,4215,186800,NuevaImperial,2,1.0,96.0,247.0,1.0,11933894,Cgs Corretaje Inmobiliario Spa,26
28,160000000,4496,199253,AltoJahuel,3,2.0,91.0,268.0,2.0,11915330,Legales y Propiedades SpA,29
29,75000000,2107,93400,TocornalExPedroDuarte,3,1.0,,87.0,1.0,6775287,Legales y Propiedades SpA,24
